input_text,target_text
sedih atiku sedih ndeleng kahanan kulawarga sing kaya ngene.,ih ono opo? cerito karo aku rapopo. aku tak dadi bestiemu.
sedih aku ora nyangka kowe tega ninggalake aku tanpa alesan.,anjir lagu opo kwi? tak bethek lagu cidro.
sedih sedih banget rasane nalika kelangan kucing kesayanganku.,astaghfirullahaladzim. kucing mu ilang mati po pye?
sedih kabeh rencanaku gagal total lan aku ngrasakake gundhah.,cup cup cup. senden ning bahu ku kene? menowo marai tentrem.
sedih bapak lan ibu wis ora ana maneh ning kene.,"astaghfirullahaladzim, ono opo?. kwe ojo nangis ya? aku ngko melu nangis."
sedih rasane pengen nangis. utekku gek sempruwet.,nangis garek nangis. ora ono sing menging nangis. cup cup cup.
sedih mripatku nganti bengkak mergo nangis sewengi mbludak.,saiki kwe rapopo to? nak arep crito karo aku rapopo.
sedih mbuh aku yo ra reti. dadaku sesek gek an.,"tenang, santai. ono opo jane? crito marangku wae kene."
"sedih huwaaa, rasane pengen nangis. mbuh kok iki iso kyo ngene.",menungso jaman saiki kok nangisan. ono opo toh?
sedih kabeh pangarep-arepku ora keturutan babar blas.,"cup cup cup, wis, ora popo ra keturutan. emang opo arepanmu?"
bosan ora ana kegiatan sing seru banget dina iki.,podho ik. aku yo bosen ning njero laptop seumur urip.
bosan sedina muput mung ndeleng hp wae rasane sepet.,"hahaha, sepet ngga tuh. jane ono gawean k? , ben ra bosen."
bosan aku wis bosen ngrungokake alesanmu sing iku-iku wae.,lha pye meneh? aku iso ngewangi opo iki?
bosan sedina-dina mung ning omah wae ora ana sing diajak omong.,"yowis to, ngomong karo aku wae nak ora ono sing diajak ngomong."
bosan pelajaran iki suwe banget lan gawe ngantuk.,tak bethek pelajaran matematika ya? awokawokawok.
bosan rutinitas saben dina sing podo nggawe aku jenuh banget.,aku yo podo bosen e. ra iso ngopo ngopo dadi kode ki.
bosan wis rong jam ngenteni nanging durung ana kepastian.,"jir, kwi ngenteni opo? kyo ngenteni mantan wae, awokawokawok."
bosan aku bingung kudu nglakoni apa amarga kabeh wis rampung.,"nak rajin banget yo ngene, ngasik bingung arep ngopo."
bosan menawi acarane kaya ngene terus aku pingin mulih wae.,lha arep pye meneh? nak ra gelem yowis bali wae.
bosan udan-udan ngene iki ora iso lungo mung isa turu.,tapi iso nonton pas udan. kan seru!
takut aku wedi banget yen liwat dalan sepi lan peteng iki.,wedi karo opo? setan? awokawokawok jaman saiki ijek percoyo setan.
takut aja ninggalake aku ing kene dhewekan! aku wedi karo setan.,ngopo wedi? setan e ra ketok no kok.
takut ono rasa kuwatir yen ujian sesok ora iso njawab.,bismillah jawab sak isone to?
takut aja mbahas cerita horror maneh aku ora wani ngrungokake!,"yo wis, kwe arep ngrungokake cerita opo?"
takut suwara aneh ing ndhuwur gendheng mau nggawe aku gemeter.,hayo ning ndhuwur gendheng ono apa ne? hahaha.
takut aku wedi yen konangan lan diseneni karo bapak.,bukane karo ibuk ya? bapakmu segalak opo sih jane?
takut jantungku rasane arep copot nalika krungu swara bledheg.,jelas lha wong bledheg e medeni kok.
"takut ih apasih? marai wedi wae. reti ra, aku ngasik merinding.","hehehe, ben tak weden wedeni. ben ngompol."
takut aja cedhak-cedhak asu iku amarga ketok galak banget!,"okey okey, tur ben ora kena rabies mergo asu ne."
takut atiku krasa dredeg banget arep maju ning ngarep dewe.,"tenang sante, tak nafas barkui tok ke alon alon."
